
Measurement ID;7610;Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;;;;;;;;;;;;
Battery Name;Prototipo_P;[dd/MM/yyyy HH:mm:ss];[];[];[hh:mm:ss];[hh:mm:ss];[];[];[];[V];[A];[AhCha];[AhDch];[AhStep];[Ah];[Wh];[WhCha];[WhDch];[WhStep];;;;;;;;;;;;
Battery Type;PROTOTIPO;18/11/2022 16:18:45;1;...;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;0;0;;;;;;;;;;18/11/2022 19:30:04;AhCha;1,33774;;;;;;;;
Circuit;Circuit026;18/11/2022 16:30:01;2;PAU;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;2,086403;0;;;;;;;;;;;AhDch;4,968524;;;;;;;;
Program;131 - EQUALIZACAO_4X_C20;18/11/2022 16:30:01;2;PAU;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;2,086403;0;0;0;0;0;0;0;0;0;;;Duração;20:55:21;;;;;;;;
Start Time;18/11/2022 16:18:44;18/11/2022 16:30:03;2;PAU;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;2,086514;0;0;0;0;0;0;0;0;0;;20/11/2022 20:25:28;AhCha;9,640954;;;;;;;;
End Time;28/11/2022 15:51:14;18/11/2022 16:30:03;2;PAU;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;2,086514;0;;;;;;;;;;;AhDch;4,864952;;;;;;;;
Test section;ITM_22/111;18/11/2022 16:30:03;3;MSG;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;Set IRange: 4;;;;;;;;;;;;Duração;19:35:09;;;;;;;;
Comment;EQUALIZACAO_4X_C20 (trocou de circuito);18/11/2022 16:30:04;3;CHA;00:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,119654;0;;;;;;;;;;22/11/2022 20:00:41;AhCha;8,608982;;;;;;;;
OrderNo;Am 04 - CBI22-076;18/11/2022 16:30:04;3;CHA;00:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,16158;0,996611;0;0;0;0;0;0;0;0;;;AhDch;4,900559;;;;;;;;
Producer;;18/11/2022 16:45:04;3;CHA;00:15:02;00:15:00;0;0;EQUALIZACAO_4X_C20;2,667028;0,486581;0,147156;0;0,147156;0,147156;0,390743;0,390743;0;0,390743;;;Duração;20:08:48;;;;;;;;
Type;PROTOTIPO;18/11/2022 17:00:04;3;CHA;00:30:02;00:30:00;0;0;EQUALIZACAO_4X_C20;2,666917;0,461162;0,265086;0;0,265086;0,265086;0,70526;0,70526;0;0,70526;;24/11/2022 20:09:33;AhCha;8,06902;;;;;;;;
Nominal Voltage;0;18/11/2022 17:15:04;3;CHA;00:45:02;00:44:59;0;0;EQUALIZACAO_4X_C20;2,666917;0,452033;0,378874;0;0,378874;0,378874;1,008729;1,008729;0;1,008729;;;AhDch;4,926621;;;;;;;;
Nominal Current;0;18/11/2022 17:30:04;3;CHA;01:00:02;01:00:00;0;0;EQUALIZACAO_4X_C20;2,666917;0,443575;0,490614;0;0,490614;0,490614;1,306738;1,306738;0;1,306738;;;Duração;20:06:34;;;;;;;;
Nominal Capacity;4;18/11/2022 17:45:04;3;CHA;01:15:02;01:15:00;0;0;EQUALIZACAO_4X_C20;2,667028;0,438786;0,600855;0;0,600855;0,600855;1,600747;1,600747;0;1,600747;;26/11/2022 20:16:11;AhCha;7,712526;;;;;;;;
Cells;0;18/11/2022 18:00:04;3;CHA;01:30:02;01:29:59;0;0;EQUALIZACAO_4X_C20;2,667028;0,432969;0,709731;0;0,709731;0,709731;1,891116;1,891116;0;1,891116;;;;;;;;;;;;
Maximum Voltage;0;18/11/2022 18:15:04;3;CHA;01:45:02;01:45:00;0;0;EQUALIZACAO_4X_C20;2,666917;0,428091;0,817403;0;0,817403;0,817403;2,178276;2,178276;0;2,178276;;;;;;;;;;;;
Gassing Voltage;0;18/11/2022 18:30:04;3;CHA;02:00:02;02:00:00;0;0;EQUALIZACAO_4X_C20;2,667028;0,423526;0,923859;0;0,923859;0,923859;2,462192;2,462192;0;2,462192;;;;;;;;;;;;
Break Voltage;0;18/11/2022 18:45:04;3;CHA;02:15:02;02:15:00;0;0;EQUALIZACAO_4X_C20;2,666917;0,418559;1,029096;0;1,029096;1,029096;2,742856;2,742856;0;2,742856;;;;;;;;;;;;
